address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,income_level,speed_down_bins,race_quantile,is_slow,race_perc,color
"1155, 10 Post Office Square, Boston, MA, 02109",Boston,Boston,MA,42.35728,-71.05584,1,1701822690.7937646,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\69.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
", 16 Kirkwood Road, Boston, MA, 02135",Boston,Boston,MA,42.341489,-71.15831,1,1701821836.5496492,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\7.geojson.gz,B,0.2197475872308834,0.9363154997509764,8308.609001918321,3.0,4859.0,0.9547038327526132,71439.0,,Medium (25-99),most white,0,"[0.19, 0.24)",#a8596d
"624, 333 Washington Street, Boston, MA, 02108",Boston,Boston,MA,42.356884,-71.059129,1,1701822705.884245,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\70.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
"2059, 90 Orton Marotta Way, Boston, MA, 02127",Boston,Boston,MA,42.33812,-71.0548,1,1701822724.853933,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\71.geojson.gz,D,0.8772241992882562,0.3686204094471677,12627.652762018177,3.0,48173.0,0.871313672922252,28125.0,Low,Medium (25-99),least white,0,"[0.86, 0.9)",#a8596d
", 101 Gerard Street, Boston, MA, 02119",Boston,Boston,MA,42.3293458,-71.073058,1,1701822743.6103976,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\72.geojson.gz,D,0.8147029204431017,0.4402998767988676,2121.323466580076,3.0,42704.0,0.7936842105263158,33594.0,Low,Medium (25-99),least white,0,"[0.81, 0.86)",#a8596d
"3, 1027 Tremont Street, Boston, MA, 02120",Boston,Boston,MA,42.33681,-71.08534,1,1701822761.6982205,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\73.geojson.gz,D,0.5367213114754098,0.3570342604000104,13872.40119893933,3.0,49057.0,0.6502890173410405,27241.0,Low,Medium (25-99),integrated,0,"[0.52, 0.57)",#a8596d
"3, 49 Maverick Square, Boston, MA, 02128",Boston,Boston,MA,42.36963,-71.03869,1,1701822783.424014,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\74.geojson.gz,,0.5340659340659341,0.8577026920758081,11769.87945574008,2.0,10857.0,0.8295454545454546,65441.0,,Medium (25-99),integrated,0,"[0.52, 0.57)",#a8596d
"2, 909 E Second Street, Boston, MA, 02127",Boston,Boston,MA,42.33733,-71.026838,1,1701822791.6414826,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\75.geojson.gz,C,0.0192901234567901,2.1607119452672414,13479.780329505742,3.0,-88560.0,0.9785867237687366,164858.0,Upper Income,Medium (25-99),most white,0,"[0.0, 0.05)",#a8596d
"1C, 437 D Street, Boston, MA, 02210",Boston,Boston,MA,42.34516,-71.04299,1,1701822802.202854,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\76.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
"Apt 4, 47 Charter Street, Boston, MA, 02109",Boston,Boston,MA,42.36726,-71.05451,1,1701822834.455608,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\77.geojson.gz,D,0.1557632398753894,1.2414742195077195,28732.545649838885,2.0,-18424.0,0.9291338582677166,94722.0,Upper Income,Medium (25-99),most white,0,"[0.14, 0.19)",#a8596d
